" ","ACM No.","Contact No.","Title","Author","Email","DL Paper Type","Rights Granted","Third Party","Aux. Material","Video Recording","Artistic Images","Govt. Employees","Open Access","DOI","Authorizer","Statement","CC License","Non-ACM Copyright"
" ","10","lbw3333","This Is the Title of the 3rd Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111122} full strip notes","First Author Last Name 36:Affiliation;First Author Last Name 37:Affiliation;First Author Last Name 38:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111122","","rights statement"," "," "
" ","11","lbw4444","This Is the Title of the 4th Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111123} full strip notes","First Author Last Name 39:Affiliation;First Author Last Name 40:Affiliation;First Author Last Name 42:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111123","","rights statement"," "," "
" ","12","demo1111","This Is the Title of the 1st Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111124} full strip notes","First Author Last Name 43:Affiliation;First Author Last Name 44:Affiliation;First Author Last Name 45:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111124","","rights statement"," "," "
" ","13","demo2222","This Is the Title of the 3rd Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111125} full strip notes","First Author Last Name 7:Affiliation;First Author Last Name 8:Affiliation;First Author Last Name 9:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111125","","rights statement"," "," "
" ","14","demo3333","This Is the Title of the 3rd Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111126} full strip notes","First Author Last Name 10:Affiliation;First Author Last Name 11:Affiliation;First Author Last Name 12:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111126","","rights statement"," "," "
" ","15","demo4444","This Is the Title of the 4th Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111127} full strip notes","First Author Last Name 48:Affiliation;First Author Last Name 49:Affiliation;First Author Last Name 40:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111127","","rights statement"," "," "
" ","16","dc1111","This Is the Title of the 1st Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111128} full strip notes","First Author Last Name 62:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111128","","rights statement"," "," "
" ","17","dc2222","This Is the Title of the 2nd Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111129} full strip notes","First Author Last Name 63:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111129","","rights statement"," "," "
" ","18","dc3333","This Is the Title of the 3rd Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111130} full strip notes","First Author Last Name 60:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111130","","rights statement"," "," "
" ","19","dc4444","This Is the Title of the 4th Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111131} full strip notes","First Author Last Name 61:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111131","","rights statement"," "," "
" ","20","ws1111","This Is the Title of the 1st Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111132} full strip notes","First Author Last Name 50:Affiliation;First Author Last Name 51:Affiliation;First Author Last Name 52:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111132","","rights statement"," "," "
" ","21","ws2222","This Is the Title of the 2nd Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111133} full strip notes","First Author Last Name 51:Affiliation;First Author Last Name 53:Affiliation;First Author Last Name 43:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111133","","rights statement"," "," "
" ","22","ws3333","This Is the Title of the 3rd Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceediangs of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111134} full strip notes","First Author Last Name 64:Affiliation;First Author Last Name 65:Affiliation;First Author Last Name 66:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111134","","rights statement"," "," "
" ","23","ws4444","This Is the Title of the 4th Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111135} full strip notes","First Author Last Name 67:Affiliation;First Author Last Name 68:Affiliation;First Author Last Name 69:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111135","","rights statement"," "," "
"edit","59","ws5555","This Is the Title of the 5th Paper full strip notes *","First Author Last Name 70,First Author Last Name 71,First Author Last Name 72",email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","DUPLICATE INSERTS demonstration","NONE"," "," "," "," "," ",""https://doi.org/10.1145/1111111.1111136",""," "," ","load Form"
